,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
86,2024,SP,CAFE                                    ,186141.0,5474.5,29.375
87,2025,AM,CAFE                                    ,659.4000000000001,22.25,34.05
88,2025,BA,CAFE                                    ,50920.0,1773.1,36.45
89,2025,ES,CAFE                                    ,189911.0,7876.75,37.675
90,2025,GO,CAFE                                    ,5545.5,202.8,36.6
91,2025,MG,CAFE                                    ,538068.5,12730.85,32.175
92,2025,MT,CAFE                                    ,11824.5,266.45000000000005,22.5
93,2025,NI,CAFE                                    ,2167.75,50.75,28.15
94,2025,PR,CAFE                                    ,25384.5,693.5999999999999,27.299999999999997
95,2025,RJ,CAFE                                    ,11740.0,377.85,32.15
96,2025,RO,CAFE                                    ,41271.0,2255.5,54.65
97,2025,SP,CAFE                                    ,196025.0,5063.3,25.8
