semSeca,s0s4,s1s4,s2s4,s3s4,s4,mes,ano,uf
"27,2","72,8","60,12","45,37",0,0,3,2019,AL
"7,13","92,87","67,17","59,07","38,73",0,2,2019,AL
"7,13","92,87","67,17","59,07","40,52",0,1,2019,AL
0,100,"72,62","54,33","40,03",0,12,2018,AL
0,100,"72,8","54,32","40,89",0,11,2018,AL
0,100,"72,8","54,32","40,89",0,10,2018,AL
0,100,"60,73","40,05","31,93",0,9,,AL
"32,18","67,82","43,79","33,97","24,58",0,8,2018,AL
"32,18","67,82","43,79","33,99","18,51",0,7,2018,AL
"42,84","57,16","36,03","30,41",0,0,6,2018,AL
"43,37","56,63","34,4","15,82",0,0,5,2018,AL
"43,33","56,67","34,4","15,82",0,0,4,2018,AL
"31,21","68,79","35,19","13,92","1,77",0,3,2018,AL
"64,48","35,52","14,21","6,2",0,0,2,2018,AL
"64,49","35,51","16,24","6,7",0,0,1,2018,AL
"64,17","35,83","7,09","1,7",0,0,12,2017,AL
"75,08","24,92","1,48",0,0,0,11,2017,AL
"77,54","22,46","1,48",0,0,0,10,2017,AL
90,10,"1,53",0,0,0,9,2017,AL
"87,22","12,78","0,09",0,0,0,8,2017,AL
"78,76","21,24","8,8","0,03",0,0,7,2017,AL
0,100,"14,59","4,54",0,0,6,2017,AL
0,100,"14,59","4,54",0,0,5,2017,AL
0,100,100,100,"61,1","42,29",4,2017,AL
0,100,100,100,100,"61,7",3,2017,AL
0,100,100,100,100,"61,7",2,2017,AL
0,100,100,100,100,"61,7",1,2017,AL
0,100,100,100,100,"61,64",12,2016,AL
0,100,100,100,100,"61,39",11,2016,AL
0,100,100,100,"84,92","45,93",10,2016,AL
0,100,100,"91,24","76,38","32,19",9,2016,AL
0,100,"91,37","79,1","56,1",0,8,2016,AL
0,100,"77,46","53,94","36,47",0,7,2016,AL
"10,08","89,92","84,95","52,33","26,89",0,6,2016,AL
"10,1","89,9","84,57","52,94","26,77",0,5,2016,AL
"26,25","73,75","41,72","26,03","4,93",0,4,2016,AL
"18,28","81,72","73,17","16,13","3,08",0,3,2016,AL
"40,31","59,69","34,17","17,78","3,57",0,2,2016,AL
"45,13","54,87","34,29","17,78","3,96",0,1,2016,AL
0,100,"88,05","61,7","33,96","18,55",12,2015,AL
