mapas,semSeca,s0s4,s1s4,s2s4,s3s4,s4,estado
Dezembro de 2023,0,100,"79,42","49,76","15,45",0,Amazonas
Novembro de 2023,0,100,"85,12","44,43","16,9",0,Amazonas
Outubro de 2023,"3,96","96,04","80,3","40,77","7,98",0,Amazonas
Setembro de 2023,"7,99","92,01","49,57","13,87",0,0,Amazonas
Agosto de 2023,"24,67","75,33","18,73","2,07",0,0,Amazonas
Julho de 2023,"28,22","71,78","11,83","2,07",0,0,Amazonas
Junho de 2023,"39,18","60,82","5,9","1,91",0,0,Amazonas
Maio de 2023,"75,58","24,42","5,9","1,91",0,0,Amazonas
Abril de 2023,"58,57","41,43","7,38","3,17",0,0,Amazonas
Março de 2023,"46,61","53,39","7,38","3,17",0,0,Amazonas
Fevereiro de 2023,"44,29","55,71","18,44","3,17",0,0,Amazonas
Janeiro de 2023,"37,02","62,98","24,63","3,59",0,0,Amazonas
Dezembro de 2022,"33,89","66,11","27,59","2,3",0,0,Amazonas
Junho de 2025,"14,83","85,17","76,82","41,43",0,0,Bahia
Maio de 2025,"15,34","84,66","72,95","52,7",0,0,Bahia
Abril de 2025,"3,94","96,06","74,8","52,83",0,0,Bahia
Março de 2025,"4,14","95,86","74,81","17,51",0,0,Bahia
Fevereiro de 2025,"6,83","93,17","49,81","4,77",0,0,Bahia
Janeiro de 2025,"6,8","93,2","29,36",0,0,0,Bahia
Dezembro de 2024,"3,33","96,67","38,69","4,24",0,0,Bahia
Novembro de 2024,"8,61","91,39","25,72","4,24",0,0,Bahia
Outubro de 2024,"6,78","93,22","53,76","4,66",0,0,Bahia
Setembro de 2024,"9,11","90,89","50,62","18,01",0,0,Bahia
Agosto de 2024,"13,24","86,76","33,29",0,0,0,Bahia
Julho de 2024,"29,39","70,61","25,96",0,0,0,Bahia
Junho de 2024,"52,32","47,68","13,19",0,0,0,Bahia
Maio de 2024,"57,15","42,85","13,19",0,0,0,Bahia
Abril de 2024,"63,19","36,81","13,19",0,0,0,Bahia
Março de 2024,"33,4","66,6","26,7",0,0,0,Bahia
Fevereiro de 2024,"8,5","91,5","35,21",0,0,0,Bahia
Janeiro de 2024,"1,33","98,67","90,11","20,61",0,0,Bahia
Dezembro de 2023,0,100,"94,57","45,63","2,87",0,Bahia
Novembro de 2023,0,100,"89,05","28,67",0,0,Bahia
Outubro de 2023,0,100,"54,66",0,0,0,Bahia
Setembro de 2023,"2,02","97,98","41,84",0,0,0,Bahia
Agosto de 2023,"9,94","90,06","20,77",0,0,0,Bahia
Julho de 2023,"11,2","88,8","26,73",0,0,0,Bahia
Junho de 2023,"13,58","86,42","23,75",0,0,0,Bahia
Maio de 2023,"29,41","70,59","12,51",0,0,0,Bahia
Abril de 2023,"42,1","57,9",0,0,0,0,Bahia
Março de 2023,"64,89","35,11",0,0,0,0,Bahia
Fevereiro de 2023,"89,13","10,87",0,0,0,0,Bahia
Janeiro de 2023,100,0,0,0,0,0,Bahia
Dezembro de 2022,"99,12","0,88",0,0,0,0,Bahia
Novembro de 2022,"47,82","52,18","6,03",0,0,0,Bahia
Outubro de 2022,"26,13","73,87","20,05",0,0,0,Bahia
Setembro de 2022,"23,49","76,51","15,18",0,0,0,Bahia
Agosto de 2022,"23,48","76,52","11,83",0,0,0,Bahia
Julho de 2022,"16,11","83,89",0,0,0,0,Bahia
Junho de 2022,"15,56","84,44","1,18",0,0,0,Bahia
Maio de 2022,"65,57","34,43","1,18",0,0,0,Bahia
Abril de 2022,"77,91","22,09","2,48",0,0,0,Bahia
Março de 2022,"85,21","14,79","2,48",0,0,0,Bahia
Fevereiro de 2022,"84,67","15,33","2,48",0,0,0,Bahia
Janeiro de 2022,"82,69","17,31","2,48",0,0,0,Bahia
Dezembro de 2021,"73,4","26,6","6,02",0,0,0,Bahia
Novembro de 2021,"1,83","98,17","70,62","2,45",0,0,Bahia
Outubro de 2021,0,100,"91,92","6,56",0,0,Bahia
Setembro de 2021,0,100,"95,73","10,09",0,0,Bahia
Agosto de 2021,0,100,"95,73","5,35",0,0,Bahia
Julho de 2021,0,100,"99,37","5,26",0,0,Bahia
Junho de 2021,0,100,"68,79","1,07",0,0,Bahia
Maio de 2021,0,100,"57,19","1,07",0,0,Bahia
Abril de 2021,"0,02","99,98","49,33","1,07",0,0,Bahia
Março de 2021,0,100,"55,58","1,07",0,0,Bahia
Fevereiro de 2021,"16,72","83,28","13,54","0,21",0,0,Bahia
Janeiro de 2021,"42,53","57,47","17,17","3,72",0,0,Bahia
Dezembro de 2020,"51,94","48,06","16,73","3,72",0,0,Bahia
Novembro de 2020,"52,29","47,71","13,93","3,72",0,0,Bahia
Outubro de 2020,"40,9","59,1","18,33","3,72",0,0,Bahia
Setembro de 2020,"31,53","68,47","25,59","3,72",0,0,Bahia
Agosto de 2020,"31,79","68,21","21,57","3,72",0,0,Bahia
Julho de 2020,"22,95","77,05","20,8","3,72",0,0,Bahia
Junho de 2020,"24,22","75,78","21,65","3,71",0,0,Bahia
Maio de 2020,"19,03","80,97","34,72","3,71",0,0,Bahia
Abril de 2020,"10,83","89,17","52,86","3,71",0,0,Bahia
Março de 2020,"7,49","92,51","87,19","29,65",0,0,Bahia
Fevereiro de 2020,"7,63","92,37","88,8","64,57",0,0,Bahia
Janeiro de 2020,"4,12","95,88","88,84","62,73","2,45",0,Bahia
Dezembro 2019,"2,97","97,03","83,08","64,88","4,51",0,Bahia
Novembro de 2019,"8,05","91,95","74,14","52,36","4,51",0,Bahia
Outubro de 2019,"15,46","84,54","78,75","40,15","5,51",0,Bahia
Setembro de 2019,"15,69","84,31","78,98","37,2","5,56",0,Bahia
Agosto de 2019,"15,89","84,11","68,38","35,79","5,51",0,Bahia
Julho de 2019,10,90,"68,78","45,24","10,88",0,Bahia
Junho de 2019,10,90,"66,99","43,56","14,8",0,Bahia
Maio de 2019,"8,51","91,49","65,93","43,74","14,85",0,Bahia
Abril de 2019,"8,48","91,52","63,46","43,74","14,66",0,Bahia
Março de 2019,"0,01","99,99","66,47","55,82","26,4","2,39",Bahia
Fevereiro de 2019,"0,01","99,99","70,95","57,78","28,38","4,17",Bahia
Janeiro de 2019,"8,34","91,66","72,45","57,25","27,41","5,18",Bahia
Dezembro de 2018,"12,04","87,96","65,28","48,62","27,63","5,18",Bahia
Novembro de 2018,"7,83","92,17","83,1","54,63","28,39","5,39",Bahia
Outubro de 2018,"5,84","94,16","83,1","57,74","28,39","5,74",Bahia
Setembro de 2018 ,"5,92","94,08","83,08","57,13","28,17","5,73",Bahia
Agosto de 2018,"14,34","85,66","78,64","44,44","22,33","5,47",Bahia
Julho de 2018,"14,34","85,66","78,64","44,44","19,85","3,53",Bahia
Junho de 2018,"17,56","82,44","63,79","35,56","17,37","3,47",Bahia
Maio de 2018,"19,04","80,96","54,06","35,26","15,59","1,98",Bahia
Abril de 2018,"21,03","78,97","46,04","35,26","15,38","1,94",Bahia
Março de 2018,"19,69","80,31","55,14","42,66","30,83","3,43",Bahia
Fevereiro de 2018,"21,73","78,27","74,71","46,92","34,49","19,06",Bahia
Janeiro de 2018,"21,73","78,27","74,99","66,02","55,92","33,44",Bahia
Dezembro de 2017,"16,32","83,68","77,84","73,46","66,79","42,39",Bahia
Novembro de 2017,"15,83","84,17","79,43","75,15","68,06","47,91",Bahia
Outubro de 2017,"16,35","83,65","79,72","76,27","69,91","60,72",Bahia
Setembro de 2017,"19,97","80,03","77,18","72,02","67,78",48,Bahia
Agosto de 2017,"19,31","80,69","76,91","73,02","67,6","46,69",Bahia
Julho de 2017,"8,67","91,33",83,"73,05","63,36","36,6",Bahia
Junho de 2017,"8,16","91,84","85,12","71,16","62,4","35,82",Bahia
Maio de 2017,"8,16","91,84","85,12","71,16","62,4","35,82",Bahia
Abril de 2017,0,100,"86,66","73,64","63,49","39,4",Bahia
Março de 2017,0,100,"94,34","82,8","72,12","47,02",Bahia
Fevereiro de 2017,0,100,"94,34","90,03","79,24","63,5",Bahia
Janeiro de 2017,0,100,"93,17","90,51","85,91","73,74",Bahia
Dezembro de 2016,"6,19","93,81","90,15","87,83","85,64","62,44",Bahia
Novembro de 2016,"6,19","93,81","90,15","88,61","85,64","42,52",Bahia
Outubro de 2016,0,100,"90,92","88,61","83,33","24,42",Bahia
Setembro de 2016,0,100,100,"97,23","82,15","0,58",Bahia
Agosto de 2016,0,100,100,100,"89,73","0,02",Bahia
Julho de 2016,0,100,100,100,"78,27",0,Bahia
Junho de 2016,0,100,100,"96,72","63,14",0,Bahia
Maio de 2016,0,100,100,"90,72",25,0,Bahia
Abril de 2016,0,100,100,"48,5","6,06",0,Bahia
Março de 2016,0,100,"90,15","36,12","2,57",0,Bahia
Fevereiro de 2016,"0,01","99,99","88,75","12,35","2,72",0,Bahia
Janeiro de 2016,0,100,"92,97","5,39","2,84",0,Bahia
Dezembro de 2015,0,100,100,97,"80,17","53,12",Bahia
Novembro de 2015,0,100,100,"79,23","51,48","8,05",Bahia
Outubro de 2015,0,100,"84,57","60,68","34,85","5,49",Bahia
Setembro de 2015,"22,58","77,42","60,72","54,24","25,32","0,54",Bahia
Agosto de 2015,"38,3","61,7","55,35","30,33","13,85","0,37",Bahia
Julho de 2015,"36,08","63,92","33,04","16,8","11,1","0,11",Bahia
Junho de 2015,"26,06","73,94","35,54","16,75","11,07",0,Bahia
Maio de 2015,"4,02","95,98","66,61","18,27","10,42",0,Bahia
Abril de 2015,"1,53","98,47","66,5","18,47","10,47",0,Bahia
Março de 2015,0,100,"81,64","27,95","10,75","0,02",Bahia
Fevereiro de 2015,0,100,"57,54","18,07","0,23","0,02",Bahia
Janeiro de 2015,"27,01","72,99","23,74","17,1","0,21",0,Bahia
Dezembro de 2014,"30,06","69,94","36,83","23,14","1,63","0,08",Bahia
Novembro de 2014,"32,46","67,54","57,24","46,5","1,63",0,Bahia
Outubro de 2014,"5,56","94,44","72,19","49,1","7,16","0,1",Bahia
Setembro de 2014,"8,57","91,43","69,35","14,92","2,67","0,02",Bahia
Agosto de 2014,"8,77","91,23","46,34","13,48","3,55","0,23",Bahia
Julho de 2014,"26,64","73,36","44,27","13,59","3,02","0,17",Bahia
Junho de 2025,"24,16","75,84","33,89","0,01",0,0,Ceará
Maio de 2025,"24,5","75,5","1,54",0,0,0,Ceará
Abril de 2025,"45,08","54,92","1,54",0,0,0,Ceará
Março de 2025,"80,04","19,96",0,0,0,0,Ceará
Fevereiro de 2025,"67,58","32,42",0,0,0,0,Ceará
Janeiro de 2025,"36,82","63,18",0,0,0,0,Ceará
Dezembro de 2024,"20,48","79,52","42,67",0,0,0,Ceará
Novembro de 2024,"13,01","86,99","38,49",0,0,0,Ceará
Outubro de 2024,"23,81","76,19","5,25",0,0,0,Ceará
Setembro de 2024,"31,75","68,25",0,0,0,0,Ceará
Agosto de 2024,"87,48","12,52",0,0,0,0,Ceará
Julho de 2024,"94,8","5,2",0,0,0,0,Ceará
Junho de 2024,"99,3","0,7",0,0,0,0,Ceará
Maio de 2024,"89,49","10,51",0,0,0,0,Ceará
Abril de 2024,"89,49","10,51",0,0,0,0,Ceará
Março de 2024,"57,45","42,55","10,17",0,0,0,Ceará
Fevereiro de 2024,"23,5","76,5","37,54",0,0,0,Ceará
Janeiro de 2024,0,100,"76,23","2,13",0,0,Ceará
Dezembro de 2023,0,100,"47,21",0,0,0,Ceará
Novembro de 2023,0,100,"47,23",0,0,0,Ceará
Outubro de 2023,0,100,"21,46",0,0,0,Ceará
Setembro de 2023,"17,67","82,33",0,0,0,0,Ceará
Agosto de 2023,"64,26","35,74",0,0,0,0,Ceará
Julho de 2023,"66,27","33,73",0,0,0,0,Ceará
Junho de 2023,100,0,0,0,0,0,Ceará
Maio de 2023,100,0,0,0,0,0,Ceará
Abril de 2023,100,0,0,0,0,0,Ceará
Março de 2023,100,0,0,0,0,0,Ceará
Fevereiro de 2023,"95,19","4,81",0,0,0,0,Ceará
Janeiro de 2023,"88,92","11,08",0,0,0,0,Ceará
Dezembro de 2022,"85,43","14,57",0,0,0,0,Ceará
Novembro de 2022,"71,5","28,5",0,0,0,0,Ceará
Outubro de 2022,"67,79","32,21",0,0,0,0,Ceará
Setembro de 2022,"62,3","37,7",0,0,0,0,Ceará
Agosto de 2022,"86,46","13,54",0,0,0,0,Ceará
Julho de 2022,"83,39","16,61",0,0,0,0,Ceará
Junho de 2022,"83,39","16,61",0,0,0,0,Ceará
Maio de 2022,"83,4","16,6",0,0,0,0,Ceará
Abril de 2022,"81,13","18,87",0,0,0,0,Ceará
Março de 2022,"62,88","37,12",0,0,0,0,Ceará
Fevereiro de 2022,"10,48","89,52","3,42",0,0,0,Ceará
Janeiro de 2022,"10,72","89,28","3,42",0,0,0,Ceará
Dezembro de 2021,"9,84","90,16","32,28",0,0,0,Ceará
Novembro de 2021,"9,84","90,16","60,2",0,0,0,Ceará
Outubro de 2021,"0,29","99,71","60,31",0,0,0,Ceará
Setembro de 2021,"0,29","99,71","60,3",0,0,0,Ceará
Agosto de 2021,"0,3","99,7","60,3",0,0,0,Ceará
Julho de 2021,0,100,"60,3",0,0,0,Ceará
Junho de 2021,0,100,"58,77",0,0,0,Ceará
Maio de 2021,"0,61","99,39","52,25",0,0,0,Ceará
Abril de 2021,"0,61","99,39","43,78",0,0,0,Ceará
Março de 2021,0,100,"36,28",0,0,0,Ceará
Fevereiro de 2021,0,100,"34,26",0,0,0,Ceará
Janeiro de 2021,"9,18","90,82","29,19",0,0,0,Ceará
Dezembro de 2020,"16,83","83,17",0,0,0,0,Ceará
Novembro de 2020,"20,36","79,64",0,0,0,0,Ceará
Outubro de 2020,"20,36","79,64",0,0,0,0,Ceará
Setembro de 2020,"37,68","62,32",0,0,0,0,Ceará
Agosto de 2020,"59,71","40,29",0,0,0,0,Ceará
Julho de 2020,"79,16","20,84",0,0,0,0,Ceará
Junho de 2020,"79,16","20,84",0,0,0,0,Ceará
Maio de 2020,"79,18","20,82",0,0,0,0,Ceará
Abril de 2020,69,31,0,0,0,0,Ceará
Março de 2020,"38,84","61,16","0,33",0,0,0,Ceará
Fevereiro de 2020,"31,71","68,29","57,96","0,24",0,0,Ceará
Janeiro de 2020,"19,43","80,57","64,92","28,27",0,0,Ceará
Dezembro 2019,"7,95","92,05","76,04","28,3",0,0,Ceará
Novembro de 2019,"8,15","91,85","69,11","15,49",0,0,Ceará
Outubro de 2019,"24,5","75,5","64,5","0,02",0,0,Ceará
