,Preco,Ano,Mes
234,3.7643,2019,7
235,4.1379,2019,8
236,4.1638,2019,9
237,4.0035,2019,10
238,4.2234,2019,11
239,4.0301,2019,12
240,4.2689,2020,1
241,4.4981,2020,2
242,5.1981,2020,3
243,5.4264,2020,4
244,5.4257,2020,5
245,5.4754,2020,6
246,5.2027,2020,7
247,5.4707,2020,8
248,5.6401,2020,9
249,5.7712,2020,10
250,5.3311,2020,11
251,5.1961,2020,12
252,5.4753,2021,1
253,5.5296,2021,2
254,5.6967,2021,3
255,5.403,2021,4
256,5.2316,2021,5
257,5.0016,2021,6
258,5.121,2021,7
259,5.1427,2021,8
260,5.4388,2021,9
261,5.6424,2021,10
262,5.6193,2021,11
263,5.5799,2021,12
264,5.3568,2022,1
265,5.1388,2022,2
266,4.7273,2022,3
267,4.9185,2022,4
268,4.7283,2022,5
269,5.2374,2022,6
270,5.1878,2022,7
271,5.1784,2022,8
272,5.406,2022,9
273,5.2564,2022,10
274,5.2935,2022,11
275,5.2171,2022,12
276,5.0987,2023,1
277,5.2072,2023,2
278,5.0798,2023,3
279,5.0001,2023,4
280,5.0953,2023,5
281,4.8186,2023,6
282,4.7409,2023,7
283,4.9213,2023,8
284,5.007,2023,9
285,5.0569,2023,10
286,4.9349,2023,11
287,4.8407,2023,12
288,4.9529,2024,1
289,4.9827,2024,2
290,4.9864,2024,3
291,5.1712,2024,4
292,5.241,2024,5
293,5.5583,2024,6
294,5.6615,2024,7
295,5.6556,2024,8
296,5.4475,2024,9
297,5.7773,2024,10
298,6.0529,2024,11
299,6.1917,2024,12
300,5.8295,2025,1
301,5.8482,2025,2
302,5.7416,2025,3
303,5.6602,2025,4
304,5.7081,2025,5
305,5.4565,2025,6
306,5.6015,2025,7
