,produto,ano,sh_area_plantada_mil_ha_list,sh_producao_mil_t_list,sh_produtividade_mil_ha_mil_t_list,sh_rotulos_ano_agricola,lev_area_plantada_mil_ha_list,lev_producao_mil_t_list,lev_produtividade_mil_ha_mil_t_list,n_levantamentos,levantamentos_descricoes_lista,lev_rotulos_ano_agricola,od_estoque_inicial_1000t_list,od_producao_1000t_list,od_importacao_1000t_list,od_consumo_1000t_list,od_exportacao_1000t_list,od_estoque_final_1000t_list,od_rotulos_ano_agricola,vlr_custo_variavel_ha_mensal,vlr_custo_variavel_unidade_mensal,vlr_custo_fixo_ha_mensal,vlr_custo_fixo_unidade_mensal,vlr_renda_fator_ha_mensal,vlr_renda_fator_unidade_mensal,valor_produto_kg_mensal,ipca_indice_mensal,dolar_preco_mensal
2410,arroz,1994,"[np.float64(4393.0), np.float64(4269.0)]","[np.float64(10524.0), np.float64(11240.0)]","[np.float64(2.395629410425677), np.float64(2.6329351136097445)]",1993/94;1994/95,,,,,,,,,,,,,,,,,,,,,"[141.31, 198.22, 282.96, 403.73, 581.49, 857.29, 915.93, 932.97, 947.24, 972.06, 999.37, 1016.46]",
2411,arroz,1995,"[np.float64(4269.0), np.float64(3865.0)]","[np.float64(11240.0), np.float64(10039.0)]","[np.float64(2.6329351136097445), np.float64(2.597412677878396)]",1994/95;1995/96,,,,,,,,,,,,,,,,,,,,,"[1033.74, 1044.28, 1060.47, 1086.24, 1115.24, 1140.44, 1167.35, 1178.91, 1190.58, 1207.37, 1225.12, 1244.23]",
2412,arroz,1996,"[np.float64(3865.0), np.float64(3497.0)]","[np.float64(10039.0), np.float64(9524.0)]","[np.float64(2.597412677878396), np.float64(2.7234772662281954)]",1995/96;1996/97,,,,,,,,,,,,,,,,,,,,,"[1260.9, 1273.89, 1278.35, 1294.46, 1310.25, 1325.84, 1340.56, 1346.46, 1348.48, 1352.53, 1356.86, 1363.24]",
2413,arroz,1997,"[np.float64(3497.0), np.float64(3249.0)]","[np.float64(9524.0), np.float64(8467.0)]","[np.float64(2.7234772662281954), np.float64(2.6060326254232073)]",1996/97;1997/98,,,,,,,,,,,,,,,,,,,,,"[1379.33, 1386.23, 1393.3, 1405.56, 1411.32, 1418.94, 1422.06, 1421.78, 1422.63, 1425.9, 1428.32, 1434.46]",
2414,arroz,1998,"[np.float64(3249.0), np.float64(3845.0)]","[np.float64(8467.0), np.float64(11580.0)]","[np.float64(2.6060326254232073), np.float64(3.011703511053316)]",1997/98;1998/99,,,,,,,,,,,,,,,,,,,,,"[1444.64, 1451.29, 1456.22, 1459.71, 1467.01, 1467.3, 1465.54, 1458.07, 1454.86, 1455.15, 1453.4, 1458.2]",
2415,arroz,1999,"[np.float64(3845.0), np.float64(3678.0)]","[np.float64(11580.0), np.float64(11424.0)]","[np.float64(3.011703511053316), np.float64(3.1060358890701467)]",1998/99;1999/00,,,,,,,,,,,,,,,,,,,,,"[1468.41, 1483.83, 1500.15, 1508.55, 1513.08, 1515.95, 1532.47, 1541.05, 1545.83, 1564.23, 1579.09, 1588.56]",
2416,arroz,2000,[np.float64(3247.0)],[np.float64(10384.0)],[np.float64(3.198028949799815)],2000/01,,,,,,,,,,,,,,,,,,,,,"[1598.41, 1600.49, 1604.01, 1610.75, 1610.91, 1614.62, 1640.62, 1662.11, 1665.93, 1668.26, 1673.6, 1683.47]","[1.7997, 1.7764, 1.7431, 1.7833, 1.8382, 1.8079, 1.8106, 1.8056, 1.8438, 1.8764, 1.9441, 1.9678]"
2417,arroz,2001,"[np.float64(3247.0), np.float64(3221.0)]","[np.float64(10384.0), np.float64(10626.0)]","[np.float64(3.198028949799815), np.float64(3.2989754734554486)]",2000/01;2001/02,,,,,,,,,,,,,,,,,,,,,"[1693.07, 1700.86, 1707.32, 1717.22, 1724.26, 1733.23, 1756.28, 1768.57, 1773.52, 1788.24, 1800.94, 1812.65]","[1.9475, 1.9812, 2.0864, 2.1573, 2.3384, 2.4079, 2.5538, 2.5005, 2.6986, 2.779, 2.5299, 2.384]"
2418,arroz,2002,"[np.float64(3221.0), np.float64(3185.0)]","[np.float64(10626.0), np.float64(10368.0)]","[np.float64(3.2989754734554486), np.float64(3.255259026687598)]",2001/02;2002/03,,,,,,,,,,,,,,,,,,,,,"[1822.08, 1828.64, 1839.61, 1854.33, 1858.22, 1866.02, 1888.23, 1900.5, 1914.18, 1939.26, 1997.83, 2039.78]","[2.3705, 2.438, 2.3542, 2.318, 2.5117, 2.7181, 2.8455, 3.1912, 3.1506, 3.8567, 3.6797, 3.7342]"
2419,arroz,2003,"[np.float64(3185.0), np.float64(3655.0)]","[np.float64(10368.0), np.float64(12960.0)]","[np.float64(3.255259026687598), np.float64(3.545827633378933)]",2002/03;2003/04,,,,,,,,,,,,,,,,,,,,,"[2085.68, 2118.43, 2144.49, 2165.29, 2178.5, 2175.23, 2179.58, 2186.99, 2204.05, 2210.44, 2217.96, 2229.49]","[3.2983, 3.658, 3.3958, 3.1154, 2.9306, 2.857, 2.8554, 2.993, 2.8898, 2.8268, 2.9418, 2.9293]"
2420,arroz,2004,"[np.float64(3655.0), np.float64(3917.0)]","[np.float64(12960.0), np.float64(13356.0)]","[np.float64(3.545827633378933), np.float64(3.4097523615011487)]",2003/04;2004/05,,,,,,,,,,,,,,,,,,,,,"[2246.43, 2260.13, 2270.75, 2279.15, 2290.77, 2307.03, 2328.02, 2344.08, 2351.82, 2362.17, 2378.47, 2398.92]","[2.8126, 2.9085, 2.9013, 2.9064, 3.0982, 3.138, 3.0215, 3.0235, 2.9042, 2.8623, 2.7991, 2.7508]"
2421,arroz,2005,"[np.float64(3917.0), np.float64(3019.0)]","[np.float64(13356.0), np.float64(11724.0)]","[np.float64(3.4097523615011487), np.float64(3.8834051010268302)]",2004/05;2005/06,,,,,,,,,,,,,,,,,,,,,"[2412.83, 2427.07, 2441.87, 2463.11, 2475.18, 2474.68, 2480.87, 2485.09, 2493.79, 2512.49, 2526.31, 2535.4]","[2.7074, 2.5762, 2.7621, 2.5971, 2.4715, 2.4455, 2.3427, 2.3422, 2.3012, 2.2511, 2.199, 2.2957]"
2422,arroz,2006,"[np.float64(3019.0), np.float64(2966.0)]","[np.float64(11724.0), np.float64(11317.0)]","[np.float64(3.8834051010268302), np.float64(3.815576534052596)]",2005/06;2006/07,,,,,,,,,,,,,,,,,,,,,"[2550.36, 2560.82, 2571.83, 2577.23, 2579.81, 2574.39, 2579.28, 2580.57, 2585.99, 2594.52, 2602.56, 2615.05]","[2.2747, 2.1375, 2.1215, 2.1426, 2.1774, 2.2845, 2.213, 2.148, 2.154, 2.1419, 2.1537, 2.147]"
2423,arroz,2007,"[np.float64(2966.0), np.float64(2875.0)]","[np.float64(11317.0), np.float64(12075.0)]","[np.float64(3.815576534052596), np.float64(4.2)]",2006/07;2007/08,,,,,,,,,,,,,,,,,,,,,"[2626.56, 2638.12, 2647.88, 2654.5, 2661.93, 2669.38, 2675.79, 2688.37, 2693.21, 2701.29, 2711.55, 2731.62]","[2.1407, 2.0896, 2.0909, 2.0231, 1.9922, 1.9097, 1.8684, 2.0043, 1.9031, 1.8078, 1.7378, 1.7959]"
2424,arroz,2008,"[np.float64(2875.0), np.float64(2914.0)]","[np.float64(12075.0), np.float64(12601.0)]","[np.float64(4.2), np.float64(4.324296499656829)]",2007/08;2008/09,,,,,,,,,,,,,,,,,,,,,"[2746.37, 2759.83, 2773.08, 2788.33, 2810.36, 2831.16, 2846.16, 2854.13, 2861.55, 2874.43, 2884.78, 2892.86]","[1.745, 1.7541, 1.6947, 1.6822, 1.6601, 1.6368, 1.591, 1.6389, 1.8125, 2.1551, 2.28, 2.369]"
2425,arroz,2009,"[np.float64(2914.0), np.float64(2763.0)]","[np.float64(12601.0), np.float64(11662.0)]","[np.float64(4.324296499656829), np.float64(4.220774520448788)]",2008/09;2009/10,,,,,,,,,,,,,,,,,,,,,"[2906.74, 2922.73, 2928.57, 2942.63, 2956.46, 2967.1, 2974.22, 2978.68, 2985.83, 2994.19, 3006.47, 3017.59]","[2.3803, 2.268, 2.3012, 2.1992, 2.0762, 1.9458, 1.942, 1.8385, 1.8087, 1.7037, 1.729, 1.7557]"
2426,arroz,2010,"[np.float64(2763.0), np.float64(2822.0)]","[np.float64(11662.0), np.float64(13612.0)]","[np.float64(4.220774520448788), np.float64(4.823529411764706)]",2009/10;2010/11,,,,,,,,,,,,,,,,,,,,,"[3040.22, 3063.93, 3079.86, 3097.42, 3110.74, 3110.74, 3111.05, 3112.29, 3126.29, 3149.74, 3175.88, 3195.89]","[1.7711, 1.867, 1.7644, 1.7483, 1.7967, 1.7971, 1.769, 1.7716, 1.7169, 1.6604, 1.7198, 1.6988]"
2427,arroz,2011,"[np.float64(2822.0), np.float64(2425.0)]","[np.float64(13612.0), np.float64(11599.0)]","[np.float64(4.823529411764706), np.float64(4.783092783505155)]",2010/11;2011/12,,,,,,,,,,,,,,,,,,,,,"[3222.42, 3248.2, 3273.86, 3299.07, 3314.58, 3319.55, 3324.86, 3337.16, 3354.85, 3369.28, 3386.8, 3403.73]","[1.6843, 1.6682, 1.6692, 1.5776, 1.6328, 1.596, 1.5743, 1.5956, 1.7106, 1.7376, 1.7649, 1.8609]"
2428,arroz,2012,"[np.float64(2425.0), np.float64(2398.0)]","[np.float64(11599.0), np.float64(11822.0)]","[np.float64(4.783092783505155), np.float64(4.929941618015013)]",2011/12;2012/13,,,,,,,,,,,,,,,,,,,,,"[3422.79, 3438.19, 3445.41, 3467.46, 3479.94, 3482.72, 3497.7, 3512.04, 3532.06, 3552.9, 3574.22, 3602.46]","[1.7853, 1.7158, 1.8006, 1.8364, 1.9941, 2.0443, 2.0332, 2.0338, 2.0234, 2.0139, 2.0382, 2.084]"
